,date,rose-0-0,rose-0-1,rose-0-2,rose-0-3,rose-0-4,rose-0-5,rose-0-6,rose-0-7,rose-1-0,rose-1-1,rose-1-2,rose-1-3,rose-1-4,rose-1-5,rose-1-6,rose-1-7,rose-2-0,rose-2-1,rose-2-2,rose-2-3,rose-2-4,rose-2-5,rose-2-6,rose-2-7
0,20131213,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,2,2,1,1,1,2,2
1,20131214,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2,20131215,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,20131216,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,20131217,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
5,20131218,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
6,20131219,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
7,20131220,1,1,1,0,0,0,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
8,20131221,1,1,1,0,0,0,1,1,2,2,2,1,1,1,2,2,3,3,3,2,1,1,2,3
9,20131222,1,1,1,0,0,0,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2
10,20131223,2,2,2,1,1,1,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,3
11,20131224,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
12,20131225,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
13,20131226,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
14,20131227,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2
15,20131228,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2,2,2,1,1,1,2,2
16,20131229,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,2,2,2,1,0,1,1,2
17,20131230,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,2,2,1,1,1,1,2
18,20131231,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
19,20140101,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
20,20140102,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
21,20140103,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
22,20140104,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
23,20140105,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,20140106,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
