,Column,Nid,Date,Region,Location Name or Route,dt,match,score,latitute,longitude,m_sName,m_iID,m_sAliasTo,m_sNote,m_sCanyon,m_sElevation,m_sViewHeading,m_sViewDistance,slope_x,aspect_x,avy_elevat_x,slope_y,aspect_y,avy_elevat_y
0,1,32995,05/14/2017,Salt Lake,square top,2017-05-14,square top,100,40.664351,-111.600235,square top,5049,,,Big Cottonwood Canyon;Summit County,9780,240,3000,12.15291,141.26509,2981.64307,12.15291,141.26509,2981.64307
1,2,32963,04/29/2017,Salt Lake,bells canyon,2017-04-29,bells canyon,100,40.560433,-111.765325,bells canyon,4120,,,Salt Lake Valley,-1,105,3100,14.80718,310.79657,2155.20532,14.80718,310.79657,2155.20532
2,3,32965,04/29/2017,Salt Lake,el rollo silver fork ,2017-04-29,el rollo,90,40.615376,-111.624529,el rollo,2556,,,Big Cottonwood Canyon,-1,275,1000,27.7084,94.82716,2758.40332,27.7084,94.82716,2758.40332
3,4,32969,04/29/2017,Salt Lake,mt. superior,2017-04-29,superior,90,40.592166,-111.666973,superior,2854,,,Big Cottonwood Canyon;Little Cottonwood Canyon,11050,295,1500,20.04864,230.25876,3347.46851,20.04864,230.25876,3347.46851
4,5,32959,04/29/2017,Salt Lake,little superior,2017-04-29,little superior,100,40.59317,-111.661559,little superior,3111,,,Big Cottonwood Canyon;Little Cottonwood Canyon,10489,320,700,29.18239,319.31097,3172.38867,29.18239,319.31097,3172.38867
6,7,32961,04/29/2017,Salt Lake,south superior/2 trees/hell gate,2017-04-29,superior,90,40.592166,-111.666973,superior,2854,,,Big Cottonwood Canyon;Little Cottonwood Canyon,11050,295,1500,20.04864,230.25876,3347.46851,20.04864,230.25876,3347.46851
8,9,32951,04/28/2017,Salt Lake,little superior skier's right,2017-04-28,little superior,90,40.59317,-111.661559,little superior,3111,,,Big Cottonwood Canyon;Little Cottonwood Canyon,10489,320,700,29.18239,319.31097,3172.38867,29.18239,319.31097,3172.38867
9,10,32952,04/28/2017,Salt Lake,murdock peak,2017-04-28,murdock peak,100,40.6934,-111.6051,murdock peak,1121,,,Mill Creek Canyon;Lambs Canyon,9602,0,2000,15.85883,315.7243,2921.06226,15.85883,315.7243,2921.06226
10,11,32953,04/28/2017,Salt Lake,murdock peak,2017-04-28,murdock peak,100,40.6934,-111.6051,murdock peak,1121,,,Mill Creek Canyon;Lambs Canyon,9602,0,2000,15.85883,315.7243,2921.06226,15.85883,315.7243,2921.06226
12,13,32926,04/27/2017,Salt Lake,se facing cardiff bowl (powerline),2017-04-27,cardiff bowl,90,40.594795,-111.650719,cardiff bowl,3136,,,Little Cottonwood Canyon,-1,270,900,27.5077,98.95366,3035.05151,27.5077,98.95366,3035.05151
13,14,32931,04/27/2017,Salt Lake,west face honeycomb canyon,2017-04-27,honeycomb canyon,90,40.61231,-111.61156,honeycomb canyon,2505,,,Big Cottonwood Canyon,-1,170,2500,34.27836,45.37165,2725.66919,34.27836,45.37165,2725.66919
14,15,32936,04/27/2017,Salt Lake,cardiff bowl,2017-04-27,cardiff bowl,100,40.594795,-111.650719,cardiff bowl,3136,,,Little Cottonwood Canyon,-1,270,900,27.5077,98.95366,3035.05151,27.5077,98.95366,3035.05151
15,17,32897,04/25/2017,Salt Lake,silver fork headwall,2017-04-25,silver fork headwall,100,40.599156,-111.626907,silver fork headwall,2547,,,Big Cottonwood Canyon,-1,180,1000,42.13863,10.46025,2958.45288,42.13863,10.46025,2958.45288
16,18,32898,04/25/2017,Salt Lake,emma ridges,2017-04-25,emma ridge,95,40.598405,-111.626617,emma ridge,3165,,,Big Cottonwood Canyon;Little Cottonwood Canyon,-1,15,1600,7.64011,56.33689,3032.23022,7.64011,56.33689,3032.23022
17,19,32899,04/25/2017,Salt Lake,doug's drop,2017-04-25,doug's drop,100,40.606902,-111.62707,doug's drop,2551,,,Big Cottonwood Canyon,9500,265,1000,37.4943,82.01616,2947.27466,37.4943,82.01616,2947.27466
18,20,32908,04/25/2017,Salt Lake,twin lakes,2017-04-25,twin lakes pass,90,40.59455,-111.609122,twin lakes pass,2459,,,Big Cottonwood Canyon;Little Cottonwood Canyon,9993,90,1000,16.04648,244.56573,3034.83887,16.04648,244.56573,3034.83887
19,21,32882,04/25/2017,Salt Lake,davenport hill,2017-04-25,davenport hill,100,40.599614,-111.622198,davenport hill,3166,,,Big Cottonwood Canyon;Little Cottonwood Canyon,10120,210,1000,32.31819,289.51379,3053.93335,32.31819,289.51379,3053.93335
20,22,32883,04/25/2017,Salt Lake,days fork,2017-04-25,days fork,100,40.615511,-111.634556,days fork,2595,,,Big Cottonwood Canyon,-1,180,2500,14.71154,16.7914,2651.24097,14.71154,16.7914,2651.24097
21,23,32884,04/25/2017,Salt Lake,days draw (chickenshit ridge ),2017-04-25,days draw,90,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
23,25,32888,04/25/2017,Salt Lake,stupid chute / wolverine cirque,2017-04-25,stupid chute,90,40.588604,-111.601201,stupid chute,2430,,,Big Cottonwood Canyon,-1,180,500,40.6875,3.82161,3177.05127,40.6875,3.82161,3177.05127
24,26,32892,04/25/2017,Salt Lake,emma ridge culps,2017-04-25,culps,90,40.597137,-111.628739,culps,3164,,,Little Cottonwood Canyon,-1,10,1500,20.79237,219.23141,2923.9812,20.79237,219.23141,2923.9812
25,27,32893,04/25/2017,Salt Lake,grizzly gulch,2017-04-25,grizzly gulch,100,40.594275,-111.62398,grizzly gulch,3196,,,Little Cottonwood Canyon,-1,50,2100,30.87155,177.05164,2759.50269,30.87155,177.05164,2759.50269
26,28,32896,04/25/2017,Salt Lake,main days,2017-04-25,main days,100,40.605834,-111.642708,main days,2608,,,Big Cottonwood Canyon,-1,240,1300,31.40769,51.94419,3137.71484,31.40769,51.94419,3137.71484
27,30,32868,04/23/2017,Salt Lake,sl twins,2017-04-23,w,90,40.590227,-111.666377,w,3116,,,Little Cottonwood Canyon,-1,270,900,39.27142,179.08618,3272.5271,39.27142,179.08618,3272.5271
31,34,32827,04/21/2017,Salt Lake,south monitor,2017-04-21,south monitor,100,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
32,35,32803,04/19/2017,Salt Lake,cardiff bowl,2017-04-19,cardiff bowl,100,40.594795,-111.650719,cardiff bowl,3136,,,Little Cottonwood Canyon,-1,270,900,27.5077,98.95366,3035.05151,27.5077,98.95366,3035.05151
33,36,32804,04/19/2017,Salt Lake,little superior,2017-04-19,little superior,100,40.59317,-111.661559,little superior,3111,,,Big Cottonwood Canyon;Little Cottonwood Canyon,10489,320,700,29.18239,319.31097,3172.38867,29.18239,319.31097,3172.38867
34,37,32727,04/15/2017,Salt Lake,park city ridgeline/cinder chutes,2017-04-15,cinder chutes,90,40.67162,-111.599524,cinder chutes,5044,,,Summit County,-1,245,1000,31.61528,57.68208,2845.979,31.61528,57.68208,2845.979
35,38,32584,04/11/2017,Salt Lake,snowbird under temptation ridge,2017-04-11,snowbird,90,40.581,-111.656724,snowbird,3375,,,Little Cottonwood Canyon,8100,160,300,9.2478,159.27155,2468.17139,9.2478,159.27155,2468.17139
36,40,32555,04/10/2017,Salt Lake,mineral basin,2017-04-10,mineral basin,100,40.554596,-111.634546,mineral basin,6268,,,Utah County,-1,275,2200,15.33095,80.9109,2887.1958,15.33095,80.9109,2887.1958
37,42,32506,04/9/2017,Salt Lake,cardiff bowl,2017-04-09,cardiff bowl,100,40.594795,-111.650719,cardiff bowl,3136,,,Little Cottonwood Canyon,-1,270,900,27.5077,98.95366,3035.05151,27.5077,98.95366,3035.05151
38,43,32508,04/9/2017,Salt Lake,snake creek / rochester ridge,2017-04-09,rochester ridge,90,40.582361,-111.561389,rochester ridge,5543,,,Big Cottonwood Canyon,-1,35,1500,25.86146,214.61108,3015.42847,25.86146,214.61108,3015.42847
39,48,32277,03/31/2017,Salt Lake,hogam fork,2017-03-31,hogum fork,90,40.557207,-111.718865,hogum fork,3680,,The correct pronunciation of Hogum LF is ''hog'' (like the animal) ''um'' LF because hogs were raised in this canyon.,Little Cottonwood Canyon,-1,185,4000,24.35741,49.25731,2483.55029,24.35741,49.25731,2483.55029
40,50,32050,03/28/2017,Salt Lake,snake creek,2017-03-28,snake creek,100,40.569477,-111.5661,snake creek,5525,,,Wasatch County,-1,295,2000,21.01562,39.19556,2471.23535,21.01562,39.19556,2471.23535
