slope,aspect,avy_elevat
34.22575,45.54170,2595.87646
31.88675,169.58725,2740.35718
32.92081,114.66229,2782.27637
44.27121,19.23148,2583.54126
36.45871,353.02026,2583.60693
22.16785,50.06602,2454.00903
26.44122,299.13763,3135.97632
44.49792,97.74413,3109.82617
20.88771,251.08237,3151.57935
40.89746,84.76679,3052.39062
26.28470,27.17932,3233.14648
24.15541,207.18211,2285.59375
36.94823,35.32490,2948.52441
20.62518,288.86356,3049.29150
20.62518,288.86356,3049.29150
35.29646,280.46393,3149.96997
29.53849,57.17752,2764.00635
27.10309,140.59360,2295.39624
32.78907,261.99310,3307.13013
16.54148,57.80178,2441.70923
17.33391,211.29309,3464.04272
43.58327,305.58698,3463.40381
37.79539,300.45081,3348.84937
13.32873,52.76530,2766.49951
6.78552,287.46106,2890.07471
15.71047,42.07593,2568.22681
16.97324,51.37957,2172.61768
22.74337,29.96875,2994.64233
3.00705,212.06575,2605.09253
26.51855,227.52570,2818.00952
16.54148,57.80178,2441.70923
37.77808,345.39355,2703.83813
55.57572,48.13885,3274.13257
40.40327,358.15964,3291.13452
13.52251,32.11752,2914.96143
41.21843,86.23942,2906.74609
3.91594,322.74161,3006.15479
13.77674,303.58014,3036.20679
28.54645,289.26733,2797.00977
20.36488,298.56912,2724.17993
33.69117,19.38708,2369.01562
17.94329,245.86417,2943.26855
26.42680,6.65360,2708.50903
24.26389,2.24413,2346.39307
42.24227,322.26443,2969.55835
14.23485,145.69154,2146.19678
23.12011,181.00861,2888.23340
24.75348,257.58435,2780.42358
27.74862,335.01105,2740.63086
27.96554,55.80302,3050.14868
26.80085,43.64977,2995.80249
32.61384,357.93195,2544.43506
44.78648,144.25760,3313.83545
22.03355,160.94167,3053.74243
36.61607,265.66119,3169.53467
23.23687,330.41867,2999.33203
4.99526,13.25928,2858.56592
16.72011,329.14838,2484.66113
26.26383,20.59656,2845.35986
27.21264,248.51135,2733.26416
32.15867,150.19191,3212.18384
42.58970,28.52417,3221.85059
32.63360,11.52960,3229.23877
44.70414,44.01929,3075.75928
20.24573,105.76704,3081.53320
40.19424,48.45523,2883.74854
11.24279,217.17142,3068.81470
26.17506,70.16032,2980.42480
34.65248,41.76248,2596.72144
28.31019,317.34656,2429.96777
24.42698,282.79181,2664.62378
15.26246,211.14423,2547.73291
14.39410,217.50595,2297.67725
22.82341,289.73373,2890.27148
27.76741,203.86633,2636.66089
5.00154,261.71124,2329.93970
37.03029,183.34671,2877.51367
1.12811,141.81068,2508.19653
3.86689,212.33540,2595.20337
14.80718,310.79657,2155.20532
11.79520,59.31008,2855.98975
48.21450,337.08893,2921.19434
37.54012,265.77017,2768.21631
57.54110,305.00287,3260.14819
26.80438,346.38232,3228.41309
14.85640,160.56029,2945.28247
10.45220,29.36183,2552.37769
31.80889,78.63792,2890.36523
39.67346,47.80012,2858.80005
27.96065,76.67130,2467.67944
25.39873,50.80233,2607.78174
20.21692,297.98926,2729.83716
9.87053,315.54764,2319.39233
31.88519,260.50098,2816.81787
46.21292,354.82529,3139.61719
20.34134,308.15387,2272.39014
39.61765,223.32423,3278.47510
31.90419,160.80234,3043.68188
36.61134,160.71307,2959.33374
32.37470,156.56770,2410.72534
35.36330,325.68958,3169.93140
30.39963,248.55826,3035.91235
29.18239,319.31097,3172.38867
52.91467,44.93235,2237.37769
27.20783,289.79242,2594.66724
26.62773,177.23672,2860.39673
7.50843,125.55482,2899.53101
26.38348,227.59067,2680.77905
27.14809,25.67077,3003.20874
35.35751,306.08295,2909.65625
38.34580,77.83765,2514.08179
32.90261,231.52524,3193.93481
